@RELATION test_time

@attribute sku INTEGER
@attribute category ENUM
@attribute query ENUM
@attribute click_time DATE
@attribute query_time DATE

@data
2125233,abcat0101001,"Televisiones Panasonic  50 pulgadas","2011-09-01 23:44:52.533","2011-09-01 23:43:59.752"
2009324,abcat0101001,Sharp,"2011-09-05 12:25:37.42","2011-09-05 12:25:01.187"
1517163,pcmcat193100050014,nook,"2011-08-24 12:56:58.91","2011-08-24 12:55:13.012"
2877125,abcat0101001,rca,"2011-10-25 07:18:14.722","2011-10-25 07:16:51.759"
2877134,abcat0101005,rca,"2011-10-25 07:19:51.697","2011-10-25 07:16:51.759"
2416092,pcmcat143200050016,"Flat screen tvs","2011-09-07 15:54:47.956","2011-09-07 15:53:24.353"
3108172,pcmcat247400050001,macbook,"2011-09-25 11:07:02.603","2011-09-25 11:05:26.996"
2264036,pcmcat171900050028,"Blue tooth headphones","2011-09-23 12:40:20.871","2011-09-23 12:40:14.845"
8280834,abcat0107004,"Tv antenna","2011-08-29 13:37:32.903","2011-08-29 13:33:23.249"
2740208,pcmcat186100050006,"memory card","2011-10-25 22:55:58.683","2011-10-25 22:54:45.926"
2584273,pcmcat138100050040,"AC power cord","2011-09-11 12:48:44.139","2011-09-11 12:46:18.466"
1230537,pcmcat201900050009,"Zagg iPhone","2011-10-18 17:21:33.919","2011-10-18 17:21:26.57"
3168067,cat02713,"Watch The Throne","2011-09-04 10:55:20.427","2011-09-04 10:55:10.874"
7997055,pcmcat224000050003,"Remote control extender","2011-10-28 16:26:29.203","2011-10-28 16:26:20.358"
2009041,pcmcat233600050006,Camcorder,"2011-10-10 00:35:26.858","2011-10-10 00:34:30.708"
1988047,abcat0707001,3ds,"2011-09-23 22:14:08.965","2011-09-23 22:13:37.43"
1686079,abcat0410020,hoya,"2011-09-10 12:04:53.645","2011-09-10 12:04:30.805"
3770439,pcmcat144700050004,"wireless headphones","2011-10-23 11:44:35.074","2011-10-23 11:43:27.11"
2602403,pcmcat144700050004,"wireless headphones","2011-10-23 11:45:24.416","2011-10-23 11:43:27.11"
