Time,R.ASIS.X,R.ASIS.Y,R.ASIS.Z,L.ASIS.X,L.ASIS.Y,L.ASIS.Z,V.Sacral.X,V.Sacral.Y,V.Sacral.Z,R.Thigh.Upper.X,R.Thigh.Upper.Y,R.Thigh.Upper.Z,R.Thigh.Front.X,R.Thigh.Front.Y,R.Thigh.Front.Z,R.Thigh.Rear.X,R.Thigh.Rear.Y,R.Thigh.Rear.Z,L.Thigh.Upper.X,L.Thigh.Upper.Y,L.Thigh.Upper.Z,L.Thigh.Front.X,L.Thigh.Front.Y,L.Thigh.Front.Z,L.Thigh.Rear.X,L.Thigh.Rear.Y,L.Thigh.Rear.Z,R.Shank.Upper.X,R.Shank.Upper.Y,R.Shank.Upper.Z,R.Shank.Front.X,R.Shank.Front.Y,R.Shank.Front.Z,R.Shank.Rear.X,R.Shank.Rear.Y,R.Shank.Rear.Z,L.Shank.Upper.X,L.Shank.Upper.Y,L.Shank.Upper.Z,L.Shank.Front.X,L.Shank.Front.Y,L.Shank.Front.Z,L.Shank.Rear.X,L.Shank.Rear.Y,L.Shank.Rear.Z,R.Heel.X,R.Heel.Y,R.Heel.Z,R.Midfoot.Sup.X,R.Midfoot.Sup.Y,R.Midfoot.Sup.Z,R.Midfoot.Lat.X,R.Midfoot.Lat.Y,R.Midfoot.Lat.Z,R.Toe.Tip.X,R.Toe.Tip.Y,R.Toe.Tip.Z,L.Heel.X,L.Heel.Y,L.Heel.Z,L.Midfoot.Sup.X,L.Midfoot.Sup.Y,L.Midfoot.Sup.Z,L.Midfoot.Lat.X,L.Midfoot.Lat.Y,L.Midfoot.Lat.Z,L.Toe.Tip.X,L.Toe.Tip.Y,L.Toe.Tip.Z,Sternum.X,Sternum.Y,Sternum.Z,R.Acromium.X,R.Acromium.Y,R.Acromium.Z,L.Acromium.X,L.Acromium.Y,L.Acromium.Z,R.Bicep.X,R.Bicep.Y,R.Bicep.Z,L.Bicep.X,L.Bicep.Y,L.Bicep.Z,R.Elbow.X,R.Elbow.Y,R.Elbow.Z,L.Elbow.X,L.Elbow.Y,L.Elbow.Z,R.Wrist.Med.X,R.Wrist.Med.Y,R.Wrist.Med.Z,R.Wrist.Lat.X,R.Wrist.Lat.Y,R.Wrist.Lat.Z,L.Wrist.Med.X,L.Wrist.Med.Y,L.Wrist.Med.Z,L.Wrist.Lat.X,L.Wrist.Lat.Y,L.Wrist.Lat.Z,R.Toe.Lat.X,R.Toe.Lat.Y,R.Toe.Lat.Z,R.Toe.Med.X,R.Toe.Med.Y,R.Toe.Med.Z,L.Toe.Lat.X,L.Toe.Lat.Y,L.Toe.Lat.Z,L.Toe.Med.X,L.Toe.Med.Y,L.Toe.Med.Z,R.Temple.X,R.Temple.Y,R.Temple.Z,L.Temple.X,L.Temple.Y,L.Temple.Z,Top.Head.X,Top.Head.Y,Top.Head.Z
0,617.24762,1055.27502,170.78198,639.60638,1044.25842,-88.90979,430.86984,1051.26465,29.96675,517.3327,741.09601,212.08337,570.20148,666.70557,123.68554,480.06427,626.51483,199.55385,659.57892,745.05798,-145.97218,750.4809,735.8501,-73.48505,697.42963,642.68182,-137.3696,360.9039,474.04004,186.84929,420.86743,412.36603,134.71933,343.73737,388.03668,189.83162,750.32623,446.17697,-128.52777,819.76385,415.13217,-81.7,750.04584,397.94098,-138.884,156.44276,113.07307,104.00257,297.18088,88.12213,67.0685,288.24664,73.76623,176.63014,429.09286,43.0861,110.59769,815.76416,63.39788,-51.75869,967.98993,122.58054,-32.7704,943.78925,105.3372,-122.34442,1078.70935,143.54796,-60.93587,660.82678,1353.77527,20.19839,566.59839,1449.57959,229.99652,596.42383,1468.96814,-186.70021,593.64148,1249.10791,279.7764,580.73468,1233.74133,-222.92732,567.0025,1143.10925,315.56631,518.10278,1146.32483,-260.95828,771.56329,973.77911,273.7876,746.20697,944.37811,327.45282,619.82306,916.1698,-218.32727,574.16254,905.87732,-276.12146,366.12296,35.90821,193.14078,375.86584,39.8688,81.17185,1022.03961,113.13824,-136.45811,1034.97046,125.07877,-34.93821,736.52234,1571.58154,106.42087,748.242,1574.96411,-31.66723,749.33246,1747.60767,46.74146
0.017,617.99811,1053.21753,168.51317,641.23621,1042.27856,-90.93213,432.34061,1050.23743,26.84679,516.61377,740.4259,211.21942,570.51892,664.19873,123.39365,479.64038,625.65308,199.31528,661.6131,743.56732,-146.43872,756.85223,736.42303,-77.16084,700.71979,641.49298,-135.75307,357.69406,474.35721,187.04623,415.39218,411.81808,134.78728,336.91132,390.05734,190.88017,755.12109,443.93143,-128.7347,820.41974,409.88623,-79.03171,750.56512,396.96808,-137.30786,141.98363,121.29087,105.0378,281.97873,91.63458,68.46623,271.80731,75.74918,177.51051,409.88361,43.13917,110.56359,799.81989,65.80063,-49.9463,957.45166,113.74644,-27.6771,943.78925,105.3372,-122.34442,1069.27661,128.48079,-56.2015,661.32916,1352.70825,17.24357,566.9248,1448.94153,226.13284,596.42023,1466.41492,-191.47711,593.20453,1248.55835,276.04364,582.39642,1230.63843,-225.94514,566.13733,1142.56213,312.59055,519.93042,1142.17285,-262.84161,767.16644,969.57422,272.55261,742.40552,941.01062,325.92441,623.05481,912.31732,-220.41856,576.28583,902.63904,-278.4635,346.24503,35.811,193.41495,358.94989,39.80574,80.93507,1011.08215,101.08356,-132.52734,1024.0022,111.6144,-30.6797,736.04187,1570.83057,101.78574,748.41162,1574.0415,-36.66513,750.67981,1746.67041,41.16423
0.033,620.29224,1051.77124,165.85938,643.59692,1041.06079,-94.30722,434.09943,1049.34143,23.81936,517.77893,739.68091,209.92978,570.45508,663.09094,123.09371,479.47061,625.03668,199.23274,663.77716,742.55939,-147.20686,760.83862,737.40466,-80.50614,702.586,640.56848,-134.51134,355.96603,476.07431,187.72906,411.18945,410.48535,135.65497,332.24643,392.03955,191.39008,755.76636,441.96497,-126.80373,821.31488,407.06613,-76.99791,750.77588,396.23285,-136.23216,128.05836,130.38168,106.09202,267.07681,95.34116,69.8791,255.80577,78.12271,178.35294,390.76752,43.10156,110.35046,784.39679,68.05878,-48.83653,946.33325,105.4095,-23.48597,932.77124,97.33627,-120.64327,1059.06396,113.93506,-52.28406,663.19812,1351.78687,13.63107,567.5697,1448.22229,221.82841,596.4621,1463.91785,-196.01938,593.00885,1248.74841,272.54794,585.18445,1227.72607,-228.90501,564.97345,1142.93994,308.37927,523.07452,1139.11279,-266.43765,762.15747,964.9895,271.42297,735.97699,937.31622,324.73819,626.50507,909.22681,-223.19127,579.66229,899.12122,-281.07309,328.92258,34.77872,193.96858,341.75687,39.43059,80.78735,999.31842,89.32551,-129.3242,1012.50629,98.88281,-27.288,736.57086,1570.54224,96.86483,748.85468,1571.8595,-41.94081,751.03967,1746.68018,36.05921
0.05,621.54041,1050.55212,163.5325,646.75104,1040.35681,-96.86188,436.27994,1048.70715,20.95202,519.19745,739.32581,208.32521,571.93127,661.63751,123.22423,481.81918,624.23016,198.05685,666.23505,742.39032,-148.4931,763.56763,737.95416,-84.02015,703.21881,640.38641,-133.90343,356.08667,476.89316,187.23071,409.44373,410.43378,135.6963,329.61075,394.47125,191.91527,758.63446,441.58249,-127.01546,821.66901,405.63815,-75.78609,750.51422,395.89566,-136.1649,115.33288,141.10814,107.07024,252.83902,99.48857,71.28898,240.50905,81.28846,179.09006,371.83502,42.88871,109.90253,769.44598,70.03754,-48.76834,934.09692,97.97519,-20.89774,920.93799,90.00697,-119.47644,1047.43127,100.48981,-49.76516,664.71771,1351.30505,9.24379,568.00946,1448.12561,216.41084,599.00385,1461.87781,-201.06389,592.68207,1249.01611,268.26801,587.17859,1225.28418,-232.17101,562.62689,1143.3822,304.28061,526.08716,1135.98755,-268.87439,756.53687,960.19275,270.02432,729.97375,933.63281,323.82111,629.70233,906.31372,-225.57834,581.97754,895.94104,-283.05914,310.68375,34.73133,194.06519,324.27896,38.87956,80.7644,986.24982,78.3672,-127.32961,999.94592,87.50825,-25.27678,736.53625,1571.20825,92.58109,749.98224,1572.00244,-45.9969,751.06842,1747.01282,30.69887
0.067,624.58844,1050.92834,161.24614,649.25415,1041.42517,-98.48461,438.82794,1048.45105,18.27267,522.16846,738.27905,206.22354,577.19788,661.20526,122.12227,485.7204,623.18756,197.99348,669.02496,743.21033,-150.40512,766.52637,737.57611,-86.54853,706.44861,641.32141,-135.47997,359.10043,478.78271,187.31071,409.76855,409.98972,136.62299,328.7959,397.80103,192.13521,764.30676,441.88095,-129.77544,819.4068,403.62671,-75.05777,749.66199,395.97159,-137.4687,104.66998,154.01006,107.811,239.74205,104.37802,72.63148,226.07957,85.6586,179.6458,353.20926,42.46198,109.34061,754.4303,71.63676,-49.6439,920.41016,91.70379,-20.19499,907.75677,83.828,-119.12199,1034.05762,88.69792,-48.79842,666.13251,1351.51563,4.62811,568.55597,1448.63647,211.90868,600.12726,1460.2915,-206.09744,591.9776,1249.31384,263.23383,590.49182,1223.49988,-236.03795,560.85986,1144.38464,300.73502,528.6322,1134.04504,-271.92065,750.10632,955.17444,269.17526,721.46777,930.05811,323.39139,633.41034,904.04944,-227.97125,586.00677,894.02283,-285.90546,292.77032,33.78799,194.14709,306.8887,38.66298,80.80763,971.72296,68.74927,-126.63988,985.93829,77.90832,-24.6681,737.62549,1572.04834,87.80447,750.3457,1572.99023,-51.10457,750.73419,1748.23279,25.32117
0.083,628.15863,1051.42017,158.44899,652.04126,1043.04651,-101.85737,441.57205,1048.66125,15.77033,526.8028,738.1261,205.65331,584.08734,660.59796,120.84705,490.79364,622.24158,197.31982,671.81549,744.88806,-152.9505,766.9668,739.85303,-85.03291,709.17731,643.27905,-136.13054,366.04211,481.02042,188.67352,413.34131,408.71753,136.33844,330.84656,400.64767,193.439,759.47589,442.17343,-130.73776,816.06543,402.27618,-75.44473,747.88531,396.32391,-140.11632,97.06428,169.38722,108.161,228.38951,110.30775,73.80885,212.84218,91.66736,179.95212,335.07321,41.7686,108.90065,738.8324,72.80952,-51.15369,905.33636,86.73385,-21.0414,893.1098,79.00209,-119.56252,1019.03333,78.89088,-49.1244,667.78387,1352.00989,-0.13134,570.76257,1450.02661,206.86226,600.59558,1460.49719,-211.4072,590.94012,1250.75122,259.04285,593.76056,1223.08325,-239.71443,558.84601,1145.63745,295.84277,533.79944,1131.96716,-274.53073,742.86133,950.51917,268.83356,712.263,929.03009,323.78958,635.94586,902.42853,-228.98778,588.33478,891.75726,-287.01593,276.40588,34.30354,194.01968,290.22995,39.31117,80.83173,955.87006,60.79351,-127.01521,970.42456,70.22808,-25.11532,738.612,1573.10339,82.11092,751.77826,1575.62683,-55.8147,751.36084,1749.58252,19.81245
0.1,630.80774,1051.99683,155.28273,654.94336,1045.55249,-104.84258,444.30652,1049.38757,13.38743,535.10321,738.08984,203.62639,592.51501,659.99243,121.33315,501.20685,620.82605,196.24577,673.89844,747.01788,-156.03423,772.35175,742.25787,-89.25005,713.16107,646.65497,-139.52066,375.77795,482.22336,189.33501,419.00134,407.60028,138.39725,336.90884,403.77454,193.3508,756.08441,442.23431,-133.99379,810.97333,400.24454,-77.5945,744.59918,396.7373,-143.63443,93.53649,187.30023,107.96611,219.47504,117.48801,74.71632,201.41972,99.71858,179.93013,317.67944,40.65249,108.82865,722.45453,73.57777,-52.95034,889.22516,83.06837,-22.64718,877.13904,75.46108,-120.58668,1002.74866,71.09254,-50.28877,669.5058,1354.10547,-5.01989,572.24451,1451.80005,201.81273,602.06042,1461.08044,-216.3876,590.79205,1252.99475,254.13115,595.74579,1222.85925,-242.9707,557.37036,1148.6759,291.07318,537.13202,1131.83167,-277.63904,734.74261,946.59851,269.14612,702.83514,926.27173,323.48404,640.10693,901.14435,-232.70107,588.76013,890.19757,-287.25162,260.43735,35.30923,193.34642,274.95285,41.20525,80.87572,939.07227,54.59298,-128.03491,953.66071,64.3698,-26.14897,739.5401,1575.36292,78.13955,752.88104,1577.24341,-60.55132,751.64526,1751.11572,15.08665
0.117,634.3573,1053.59888,151.48531,656.46411,1048.43481,-108.35542,446.83075,1050.62231,11.01402,544.72296,738.2121,201.64484,604.5097,661.62036,121.05774,513.22986,619.92859,196.53305,674.53168,749.12817,-159.46423,773.97705,743.04993,-93.60475,711.73584,648.34937,-143.10452,387.18112,484.59857,188.88277,428.80124,406.8931,139.40385,345.48553,408.36984,193.09653,753.82123,442.04764,-138.77199,802.93207,398.62927,-80.64492,739.24146,397.03458,-147.34126,94.98832,207.4904,107.03399,213.69908,125.96996,75.26598,192.58446,110.03806,179.48466,301.42526,38.93748,109.33791,705.33765,74.03343,-54.66131,872.37952,80.52281,-24.27218,860.03241,72.9679,-121.8632,985.63171,65.12334,-51.84297,670.83313,1356.67114,-9.29258,572.75836,1454.59961,196.92804,602.85883,1462.02185,-221.10623,590.00787,1255.53772,250.09286,601.24188,1223.48523,-246.66733,554.96899,1151.4834,286.39725,542.94934,1130.97559,-280.45694,725.07544,942.78583,269.30731,692.7287,924.33771,323.41968,643.68225,900.94678,-234.15486,590.58203,888.88293,-288.93704,243.86186,38.16441,193.58971,261.57364,44.61509,81.12685,921.75916,50.09772,-129.25052,936.06396,60.11494,-27.36638,739.60699,1577.74219,73.24436,753.17957,1579.51819,-65.44061,752.39709,1753.56885,10.2251
0.133,636.58606,1055.25659,148.46054,658.6814,1051.14209,-111.49577,448.95215,1052.28821,8.53319,554.57361,738.0722,201.58772,617.51031,662.07452,121.77839,526.78558,618.5899,197.48357,673.34198,750.94318,-162.9929,771.89703,742.33643,-96.90478,709.09875,649.05853,-147.66277,402.69037,485.76764,188.44481,442.54022,406.66714,140.14063,358.56879,411.94595,193.13004,746.61304,442.07925,-142.18994,794.79785,397.89108,-83.96312,731.43372,397.14545,-150.63176,101.89561,229.2522,105.10458,211.66443,135.6129,75.40372,187.05954,122.54012,178.54959,287.03329,36.68252,110.60543,687.62341,74.29313,-55.97468,854.96057,78.81071,-25.52192,842.02069,71.28556,-123.03375,967.95386,60.73584,-53.41936,672.2514,1359.22534,-13.84572,573.2486,1458.17261,192.6459,604.14795,1463.29358,-225.73322,588.66913,1259.12073,245.03398,605.93121,1224.2688,-249.36713,551.07391,1155.10571,281.79312,548.08496,1131.09924,-281.66373,715.24152,940.14618,269.76904,680.81293,923.0174,323.19675,649.44653,900.4809,-236.19994,597.42749,890.09033,-290.82834,230.53894,44.00678,193.9955,250.70145,49.75068,81.76305,904.15027,47.12564,-130.31641,918.01147,57.20811,-28.49127,740.34119,1580.11731,68.04765,754.19202,1582.02112,-69.93488,752.81946,1756.18616,5.61364
0.15,637.73926,1057.85437,144.71632,660.52991,1054.05298,-115.06461,450.49979,1054.27356,5.88769,563.95862,737.61774,199.39542,632.10297,663.87402,122.62301,543.71594,617.5484,197.32835,670.47327,752.45715,-166.39114,766.67487,741.15271,-100.99368,701.96729,649.32263,-149.93629,422.95267,488.47433,188.63586,458.14078,406.71533,140.77057,373.53732,415.87027,192.30505,736.60419,441.1543,-144.48372,783.63556,396.66898,-85.91944,720.98749,397.0899,-153.14619,113.94633,251.35576,101.89884,213.77849,146.09308,75.11986,185.43004,136.78993,177.14098,275.70932,34.46534,112.73006,669.49695,74.45683,-56.78135,837.11652,77.71363,-26.307,823.43048,70.25358,-123.87254,949.86023,57.66205,-54.74788,673.31812,1362.27649,-16.97451,573.64575,1461.2915,188.83058,603.48907,1465.21875,-229.00102,587.18243,1262.35596,241.46214,610.59033,1225.60803,-252.14532,547.87537,1159.11731,276.40805,554.20758,1132.03687,-284.90427,704.80261,938.80182,270.11826,669.29614,922.38171,322.03412,654.29071,900.93335,-237.27509,605.25018,890.51007,-294.28757,217.73599,52.18552,193.07756,243.3329,56.69575,82.82691,886.22406,45.35707,-131.08205,899.70392,55.34391,-29.3687,740.63611,1582.93115,64.22716,754.62506,1584.87378,-74.39068,752.89178,1758.74548,1.274
