premax,salmax,minairtemp,maxairtemp,maxsst,maxsoilmoist,Max_czcs,runoffnew
350,3448,287,301.5,302817,6.39,0.51,167
350,3487,290,301.2,302280,0,0.8,0
450,3483,289,301,303326,1,1.25,0
378.57,3467,286,302,303122,7,1.65,0
350,3459,288,301,302890,5,1.53,300
375,3472,287,302,302767,9,0.75,0
435.71,3481,288.1,302.3,302750,0,0.82,0
435.71,3483,288.9,302.4,302733,0,0.82,0
450,3480,289,302,302775,9,0.97,0
350,3467,289.9,301.4,302847,0,0.68,0
350,3482,290,301,302422,14,1.11,0
350,3505,289.9,301.4,301970,0,0.5,0
411.54,3485,285.7,302,303427,0,1.54,0
350,3483,285,302,303326,10,2.5,300
350,3471,285,302,303016,12,2.43,300
450,3480,288,303,302771,13,1.95,300
450,3478,290,302,302826,6,1.68,150
421.43,3473,288,303,302907,8,0.91,0
350,3449,289.5,301.8,303057,0,0.86,0
350,3475,290,302,302556,13,1.91,600
330,3500,289.5,301.8,301867,0,0.47,0
335.71,3484,284.1,302.8,302460,2.9,0.71,82
350,3491,284.3,303.3,302677,0,1.25,0
350,3498,284,303.3,302860,2.6,0.85,138
438.89,3506,282.6,303.1,303327,0,1.17,0
450,3497,283,303,303361,9,2.21,0
361.11,3466,288.4,302.9,302970,0,0.66,0
350,3453,289,302,303057,11,1.3,0
283.33,3490,289,302,302295,13,0.59,0
350,3488,285,302,302571,3,0.99,0
350,3493,284,304,302728,6,2.12,300
350,3502,284,303,302951,4,2.08,300
376.67,3513,282,303.8,303203,0,3.39,0
450,3507,283,303,303245,6,3.83,150
350,3472,287,303,303100,8,1.13,75
300,3471,287.1,303.3,303127,0,0.81,0
350,3465,288,302,303320,11,1.45,0
250,3494,289,302,302636,13,2.66,300
250,3531,290,301,302093,6,1.19,300
250,3537,289.5,301.1,302103,5.13,0.29,210
250,3486,285,302,302160,3,1.1,0
250,3487,281,304,302556,7,2.2,300
350,3510,280,305,303172,6,11.37,300
350,3511,279,305,303244,8,1.97,150
250,3475,285,305,303122,10,1.69,75
250,3476,287,303,303127,5,1.03,75
250,3483,285.4,303.7,303217,0,0.72,0
250,3473,286,303,303463,9,1.79,0
