full,meat (gr), price (eur), restaurant, city, gender
1, 250, 4, "rest 1", "Praha", "female"
1, 270, 4, "rest 1", "Praha", "male"
1, 275, 4.5, "rest 1", "Praha", "male"
0, 70, 4.5, "rest 1", "Praha", "male"
1, 300, 5, "rest 1", "Praha", "male"
1, 200, 3.5, "rest 2", "Brno", "female"
0, 0, 2, "rest 3", "Prshtine", "male"
0, 120, "rest 3", "Prishtine", "male"
0, 100, 4, "rest 1", "Praha", "male"
0, 50, 4, "rest 1", "Praha", "male"
1, 250, 4, "rest 1", "Praha", "male"
0, 70, 4, "rest 1", "Praha", "male"
0, 50, 3.5, "rest 1", "Praha", "female"
1, 250, 5, "rest 2", "Brno", "female"
1, 300, 5, "rest 3", "Prishtine", "male"
0, 0, 3.5, "rest 2", "Brno", "female"
0, 50, 4, "rest 2", "Brno", "male"
0, 100, 5, "rest 2", "Brno", "male"
1, 250, 5, "rest 2", "Brno", "male"
1, 250, 6, "rest 4", "Prizren", "male"
0, 50, 6, "rest 4", "Prizren", "male"
1, 200, 4, "rest 4", "Prizren", "female"
0, 0, 4, "rest 4", "Prizren", "female"
1, 300, 7, "rest 4", "Prizren", "male"
1, 250, 6.5, "rest 4", "Prizren", "female"
0, 50, 2.5, "rest 5", "Berlin", "female"
0, 0, 2, "rest 5", "Berlin", "male"
1, 250, 4, "rest 5", "Berlin", "male"
1, 200, 2.5, "rest 5", "Berlin", "male"
0, 0, 2, "rest 5", "Berlin", "female"
0, 50, 2.5, "rest 5", "Berlin", "female"
1, 250, 10, "rest 6", "USA", "female"
1, 200, 8, "rest 6", "USA", "male"
1, 250, 4, "rest 1", "Praha", "female"
1, 200, 3.5, "rest 11", "Praha", "female"
1, 200, 3.5, "rest 12", "Praha", "male"
1, 200, 4, "rest 13", "Praha", "male"
1, 200, 8, "rest 14", "Praha", "female"
1, 200, 7, "rest 15", "Praha", "male"
1, 250, 9, "rest 16", "Praha", "male"
0, 0, 5, "rest 16", "Praha", "male"


